frame,time,hi,hi,Total Solar,+x,-x,+y,-y,RF,Clk,Batt Discharge,Batt V,H-Batt V,Batt Charge,Batt Temp,Baseplate Temp,PA Temp,+x F,+z F,5a,5b,5c,5d,6a,6b,6c,6d
0,18:49:47,hi,hi,0.0,-10,110,-10,-10,0.0008000000000008001,23.759999999999998,0,12.9,0.0,0.0,95.8,26.239999999999995,95.8,95.8,95.8,95.8,0.0,95.8,11.0,0,0.0,0.0,50
1,18:49:49,hi,hi,0.0,-10,30,-10,-10,0.0008000000000008001,23.759999999999998,0,12.9,0.0,0.0,95.8,26.239999999999995,95.8,95.8,95.8,95.8,0.0,95.8,11.0,0,0.0,0.0,50
2,18:49:52,hi,hi,0.0,-10,-10,-10,-10,0.0008000000000008001,23.759999999999998,0,12.9,0.0,0.0,95.8,26.239999999999995,95.8,95.8,95.8,95.8,0.0,95.8,11.0,0,0.0,0.0,49
3,18:49:55,hi,hi,0.0,-10,-10,-10,-10,0.0008000000000008001,23.759999999999998,0,12.9,0.0,0.0,95.8,26.239999999999995,95.8,95.8,95.8,95.8,0.0,95.8,11.0,0,0.0,0.0,50
4,18:49:58,hi,hi,0.0,-10,-10,-10,-10,0.0008000000000008001,23.759999999999998,0,12.9,0.0,0.0,95.8,26.239999999999995,95.8,95.8,95.8,95.8,0.0,95.8,11.0,0,0.0,0.0,51
5,18:50:01,hi,hi,0.0,-10,-10,-10,-10,0.0008000000000008001,23.759999999999998,0,12.9,0.0,0.0,95.8,26.239999999999995,95.8,95.8,95.8,95.8,0.0,95.8,11.0,0,0.0,0.0,50
6,18:50:06,hi,hi,0.0,-10,-10,-10,-10,0.0008000000000008001,23.759999999999998,0,12.9,0.0,0.0,95.8,26.239999999999995,95.8,95.8,95.8,95.8,0.0,95.8,11.0,0,0.0,0.0,49
7,18:50:09,hi,hi,0.0,-10,-10,-10,-10,0.0008000000000008001,23.759999999999998,0,12.9,0.0,0.0,95.8,26.239999999999995,95.8,95.8,95.8,95.8,0.0,95.8,11.0,0,0.0,0.0,49
8,18:50:17,hi,hi,0.0,-10,30,-10,-10,0.0008000000000008001,23.759999999999998,0,12.9,0.0,0.0,95.8,26.239999999999995,95.8,95.8,95.8,95.8,0.0,95.8,11.0,0,0.0,0.0,50
9,18:50:20,hi,hi,0.0,-10,150,-10,-10,0.0008000000000008001,23.759999999999998,0,12.9,0.0,0.0,95.8,26.239999999999995,95.8,95.8,95.8,95.8,0.0,95.8,11.0,0,0.0,0.0,51
10,18:50:31,hi,hi,0.0,-10,10,-10,-10,0.0008000000000008001,23.759999999999998,0,12.9,0.0,0.0,95.8,26.239999999999995,95.8,95.8,95.8,95.8,0.0,95.8,11.0,0,0.0,0.0,49
11,18:50:34,hi,hi,0.0,-10,-10,-10,-10,0.0008000000000008001,23.759999999999998,0,12.9,0.0,0.0,95.8,26.239999999999995,95.8,95.8,95.8,95.8,0.0,95.8,11.0,0,0.0,0.0,49
12,18:50:37,hi,hi,0.0,-10,-10,-10,-10,0.0008000000000008001,23.759999999999998,0,12.9,0.0,0.0,95.8,26.239999999999995,95.8,95.8,95.8,95.8,0.0,95.8,11.0,0,0.0,0.0,50
